Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.025,click,363,286,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
0.334,mousemove,364,286,,,,,,,1536,738,,,FALSE
0.439,mousemove,689,305,,,,,,,1536,738,,,FALSE
0.642,mousemove,838,308,,,,,,,1536,738,,,FALSE
0.748,mousemove,874,344,,,,,,,1536,738,,,FALSE
0.854,mousemove,903,369,,,,,,,1536,738,,,FALSE
0.960,mousemove,1004,393,,,,,,,1536,738,,,FALSE
1.251,mousemove,1040,399,,,,,,,1536,738,,,FALSE
1.354,mousemove,1035,394,,,,,,,1536,738,,,FALSE
1.456,mousemove,1034,393,,,,,,,1536,738,,,FALSE
1.583,mousemove,1032,393,,,,,,,1536,738,,,FALSE
1.687,mousemove,1006,396,,,,,,,1536,738,,,FALSE
1.790,mousemove,920,417,,,,,,,1536,738,,,FALSE
1.894,mousemove,880,442,,,,,,,1536,738,,,FALSE
1.997,mousemove,834,465,,,,,,,1536,738,,,FALSE
2.099,mousemove,815,480,,,,,,,1536,738,,,FALSE
2.213,mousemove,807,490,,,,,,,1536,738,,,FALSE
2.436,mousemove,806,493,,,,,,,1536,738,,,FALSE
2.803,mousemove,804,494,,,,,,,1536,738,,,FALSE
2.906,mousemove,782,436,,,,,,,1536,738,,,FALSE
3.060,mousemove,778,430,,,,,,,1536,738,,,FALSE
3.209,mousemove,776,428,,,,,,,1536,738,,,FALSE
3.312,mousemove,764,433,,,,,,,1536,738,,,FALSE
5.525,mousemove,764,433,,,,,,,1536,738,,,FALSE
5.670,mousemove,774,430,,,,,,,1536,738,,,FALSE
6.311,mousemove,783,425,,,,,,,1536,738,,,FALSE
6.672,mousemove,780,441,,,,,,,1536,738,,,FALSE
6.772,mousemove,759,456,,,,,,,1536,738,,,FALSE
6.888,mousemove,754,457,,,,,,,1536,738,,,FALSE
7.295,mousemove,752,457,,,,,,,1536,738,,,FALSE
7.701,mousemove,752,458,,,,,,,1536,738,,,FALSE
7.803,mousemove,753,477,,,,,,,1536,738,,,FALSE
8.645,mousemove,752,482,,,,,,,1536,738,,,FALSE
10.960,mousemove,751,482,,,,,,,1536,738,,,FALSE
11.139,mousemove,731,485,,,,,,,1536,738,,,FALSE
11.259,mousemove,735,485,,,,,,,1536,738,,,FALSE
11.491,click,737,479,input,,rounded,,,,1536,738,,,FALSE
11.597,mousemove,738,479,,,,,,,1536,738,,,FALSE
11.700,mousemove,879,517,,,,,,,1536,738,,,FALSE
11.803,mousemove,1177,569,,,,,,,1536,738,,,FALSE
12.128,mousemove,1196,569,,,,,,,1536,738,,,FALSE
12.233,mousemove,1218,565,,,,,,,1536,738,,,FALSE
12.383,mousemove,1276,565,,,,,,,1536,738,,,FALSE
12.831,mousemove,1277,565,,,,,,,1536,738,,,FALSE
12.937,mousemove,1308,601,,,,,,,1536,738,,,FALSE
13.085,mousemove,1358,681,,,,,,,1536,738,,,FALSE
13.217,mousemove,1355,682,,,,,,,1536,738,,,FALSE
13.358,click,1355,682,button,,inline-flex items-center justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-10 px-4 py-2,,,,1536,738,,,FALSE
13.635,mousemove,1354,682,,,,,,,1536,738,,,FALSE
13.737,mousemove,1340,671,,,,,,,1536,738,,,FALSE
13.839,mousemove,1318,581,,,,,,,1536,738,,,FALSE
13.942,mousemove,1314,535,,,,,,,1536,738,,,FALSE
14.088,mousemove,1376,449,,,,,,,1536,738,,,FALSE
14.191,mousemove,1415,408,,,,,,,1536,738,,,FALSE
14.294,mousemove,1416,394,,,,,,,1536,738,,,FALSE
14.399,mousemove,1417,379,,,,,,,1536,738,,,FALSE
14.506,mousemove,1422,359,,,,,,,1536,738,,,FALSE
14.609,mousemove,1436,311,,,,,,,1536,738,,,FALSE
14.712,mousemove,1448,276,,,,,,,1536,738,,,FALSE
15.021,click,1450,270,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 border border-input bg-background hover:bg-accent hover:text-accent-foreground h-9 rounded-md px-3,,,,1536,738,,,FALSE
15.245,mousemove,1448,270,,,,,,,1536,738,,,FALSE
15.349,mousemove,1251,362,,,,,,,1536,738,,,FALSE
15.452,mousemove,1048,473,,,,,,,1536,738,,,FALSE
15.762,mousemove,1046,477,,,,,,,1536,738,,,FALSE
15.870,mousemove,971,470,,,,,,,1536,738,,,FALSE
16.155,mousemove,864,478,,,,,,,1536,738,,,FALSE
16.260,mousemove,859,474,,,,,,,1536,738,,,FALSE
16.386,mousemove,856,472,,,,,,,1536,738,,,FALSE
18.381,mousemove,856,471,,,,,,,1536,738,,,FALSE
18.866,mousemove,855,469,,,,,,,1536,738,,,FALSE
18.979,mousemove,839,452,,,,,,,1536,738,,,FALSE
21.360,mousemove,838,451,,,,,,,1536,738,,,FALSE
21.470,mousemove,819,454,,,,,,,1536,738,,,FALSE
21.572,mousemove,803,458,,,,,,,1536,738,,,FALSE
21.688,mousemove,784,465,,,,,,,1536,738,,,FALSE
21.791,mousemove,766,465,,,,,,,1536,738,,,FALSE
21.906,mousemove,744,454,,,,,,,1536,738,,,FALSE
23.233,mousemove,743,456,,,,,,,1536,738,,,FALSE
23.446,mousemove,742,460,,,,,,,1536,738,,,FALSE
23.764,click,742,457,input,,rounded,,,,1536,738,,,FALSE
24.475,mousemove,742,458,,,,,,,1536,738,,,FALSE
24.579,mousemove,740,522,,,,,,,1536,738,,,FALSE
24.773,mousemove,741,560,,,,,,,1536,738,,,FALSE
26.150,mousemove,742,544,,,,,,,1536,738,,,FALSE
26.252,mousemove,778,545,,,,,,,1536,738,,,FALSE
26.502,mousemove,794,545,,,,,,,1536,738,,,FALSE
26.610,mousemove,762,536,,,,,,,1536,738,,,FALSE
26.725,mousemove,755,532,,,,,,,1536,738,,,FALSE
26.830,mousemove,747,531,,,,,,,1536,738,,,FALSE
26.985,click,746,532,input,,rounded,,,,1536,738,,,FALSE
26.991,mousemove,746,532,,,,,,,1536,738,,,FALSE
27.101,mousemove,747,533,,,,,,,1536,738,,,FALSE
27.203,mousemove,814,541,,,,,,,1536,738,,,FALSE
27.307,mousemove,1168,592,,,,,,,1536,738,,,FALSE
27.611,mousemove,1434,636,,,,,,,1536,738,,,FALSE
27.713,mousemove,1428,632,,,,,,,1536,738,,,FALSE
27.835,mousemove,1427,631,,,,,,,1536,738,,,FALSE
28.239,mousemove,1424,633,,,,,,,1536,738,,,FALSE
28.566,click,1408,677,button,,inline-flex items-center justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-10 px-4 py-2,,,,1536,738,,,FALSE
28.829,mousemove,1407,676,,,,,,,1536,738,,,FALSE
28.937,mousemove,1404,574,,,,,,,1536,738,,,FALSE
29.040,mousemove,1382,412,,,,,,,1536,738,,,FALSE
29.143,mousemove,1380,354,,,,,,,1536,738,,,FALSE
29.246,mousemove,1388,326,,,,,,,1536,738,,,FALSE
29.349,mousemove,1420,294,,,,,,,1536,738,,,FALSE
29.452,mousemove,1445,278,,,,,,,1536,738,,,FALSE
29.555,mousemove,1452,269,,,,,,,1536,738,,,FALSE
30.326,mousemove,1452,268,,,,,,,1536,738,,,FALSE
31.119,click,1452,268,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 border border-input bg-background hover:bg-accent hover:text-accent-foreground h-9 rounded-md px-3,,,,1536,738,,,FALSE
31.137,mousemove,1452,269,,,,,,,1536,738,,,FALSE
31.240,mousemove,1438,277,,,,,,,1536,738,,,FALSE
31.343,mousemove,1156,324,,,,,,,1536,738,,,FALSE
31.618,mousemove,938,370,,,,,,,1536,738,,,FALSE
31.720,mousemove,924,364,,,,,,,1536,738,,,FALSE
32.001,mousemove,923,361,,,,,,,1536,738,,,FALSE
32.658,mousemove,918,358,,,,,,,1536,738,,,FALSE
32.761,mousemove,832,433,,,,,,,1536,738,,,FALSE
32.865,mousemove,787,464,,,,,,,1536,738,,,FALSE
33.110,click,786,464,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
33.125,mousemove,787,463,,,,,,,1536,738,,,FALSE
43.412,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,[,,,,,,,FALSE
43.903,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
44.364,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,],,,,,,,FALSE
44.778,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
45.468,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,D,,,,,,,FALSE
45.981,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,e,,,,,,,FALSE
46.230,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
47.795,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
49.035,mousemove,794,459,,,,,,,1536,738,,,FALSE
49.138,mousemove,797,464,,,,,,,1536,738,,,FALSE
49.241,mousemove,952,390,,,,,,,1536,738,,,FALSE
49.344,mousemove,969,377,,,,,,,1536,738,,,FALSE
49.447,mousemove,973,369,,,,,,,1536,738,,,FALSE
49.776,click,976,361,p,,text-sm,,,,1536,738,,,FALSE
50.018,click,976,361,p,,text-sm,,,,1536,738,,,FALSE
50.065,mousemove,975,362,,,,,,,1536,738,,,FALSE
50.259,copy,,,,,,,,,,,copy,ascendingly,FALSE
50.168,mousemove,875,442,,,,,,,1536,738,,,FALSE
50.259,keydown,,,body,,,c,,,,,,,FALSE
50.320,mousemove,778,468,,,,,,,1536,738,,,FALSE
50.507,mousemove,775,462,,,,,,,1536,738,,,FALSE
50.772,click,776,456,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
50.981,mousemove,777,456,,,,,,,1536,738,,,FALSE
51.212,paste,,,,,,,,,,,paste,ascendingly,FALSE
51.211,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,v,,,,,,,FALSE
51.293,mousemove,779,455,,,,,,,1536,738,,,FALSE
51.399,mousemove,811,462,,,,,,,1536,738,,,FALSE
51.518,mousemove,848,468,,,,,,,1536,738,,,FALSE
52.519,mousemove,850,467,,,,,,,1536,738,,,FALSE
52.623,mousemove,820,466,,,,,,,1536,738,,,FALSE
52.805,mousemove,771,454,,,,,,,1536,738,,,FALSE
52.914,mousemove,768,456,,,,,,,1536,738,,,FALSE
53.350,mousemove,764,461,,,,,,,1536,738,,,FALSE
53.776,click,760,461,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
53.778,mousemove,760,461,,,,,,,1536,738,,,FALSE
53.883,mousemove,764,461,,,,,,,1536,738,,,FALSE
53.900,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,A,,,,,,,FALSE
53.987,mousemove,849,469,,,,,,,1536,738,,,FALSE
54.134,mousemove,885,469,,,,,,,1536,738,,,FALSE
54.235,mousemove,883,459,,,,,,,1536,738,,,FALSE
54.352,mousemove,871,457,,,,,,,1536,738,,,FALSE
54.642,mousemove,866,457,,,,,,,1536,738,,,FALSE
55.311,click,852,458,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
55.375,mousemove,851,458,,,,,,,1536,738,,,FALSE
55.885,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
56.031,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
56.398,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,:,,,,,,,FALSE
57.141,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
57.605,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,(,,,,,,,FALSE
57.886,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,),,,,,,,FALSE
58.550,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,:,,,,,,,FALSE
58.818,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Enter,,,,,,,FALSE
59.706,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
59.906,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
71.731,mousemove,851,458,,,,,,,1536,738,,,FALSE
71.850,mousemove,850,469,,,,,,,1536,738,,,FALSE
71.951,mousemove,827,478,,,,,,,1536,738,,,FALSE
72.054,mousemove,775,505,,,,,,,1536,738,,,FALSE
72.709,mousemove,767,510,,,,,,,1536,738,,,FALSE
72.812,mousemove,813,530,,,,,,,1536,738,,,FALSE
73.217,mousemove,836,545,,,,,,,1536,738,,,FALSE
73.426,mousemove,839,522,,,,,,,1536,738,,,FALSE
73.774,mousemove,839,521,,,,,,,1536,738,,,FALSE
73.885,mousemove,844,516,,,,,,,1536,738,,,FALSE
74.083,mousemove,845,516,,,,,,,1536,738,,,FALSE
74.188,mousemove,854,506,,,,,,,1536,738,,,FALSE
74.728,mousemove,857,503,,,,,,,1536,738,,,FALSE
74.836,mousemove,854,497,,,,,,,1536,738,,,FALSE
75.163,mousemove,852,496,,,,,,,1536,738,,,FALSE
75.930,mousemove,862,490,,,,,,,1536,738,,,FALSE
76.036,mousemove,897,461,,,,,,,1536,738,,,FALSE
83.260,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,T,,,,,,,FALSE
83.971,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
86.414,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,D,,,,,,,FALSE
92.686,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
95.242,mousemove,906,447,,,,,,,1536,738,,,FALSE
95.346,mousemove,851,473,,,,,,,1536,738,,,FALSE
95.527,mousemove,843,467,,,,,,,1536,738,,,FALSE
95.678,mousemove,842,461,,,,,,,1536,738,,,FALSE
95.885,click,834,457,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
96.013,mousemove,835,457,,,,,,,1536,738,,,FALSE
96.284,click,836,457,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
96.333,mousemove,837,457,,,,,,,1536,738,,,FALSE
97.457,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,l,,,,,,,FALSE
97.649,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,i,,,,,,,FALSE
97.797,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,s,,,,,,,FALSE
98.062,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,FALSE
99.045,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
100.887,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,FALSE
101.405,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,1,,,,,,,FALSE
102.359,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,ArrowDown,,,,,,,FALSE
107.717,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,i,,,,,,,FALSE
107.878,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
108.572,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
112.042,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Enter,,,,,,,FALSE
113.406,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
113.660,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
113.873,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,FALSE
113.969,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,h,,,,,,,FALSE
114.107,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,e,,,,,,,FALSE
114.229,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,n,,,,,,,FALSE
114.473,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
114.629,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Enter,,,,,,,FALSE
115.105,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
115.280,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
115.537,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
116.787,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
117.263,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,r,,,,,,,FALSE
117.452,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,e,,,,,,,FALSE
117.655,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,FALSE
117.748,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,u,,,,,,,FALSE
